企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
上海城开(集团)无锡置业有限公司太湖皇冠假日酒店,江苏,无锡市,91320211078248970G,蒋楚楚,有限责任公司分公司,2013-08-16,,无锡市滨湖区太湖西大道1888号,ca@cpwuxi.com,住宿服务;特大型餐馆(含凉菜;含裱花蛋糕;含生食海产品);预包装食品兼散装食品、乳制品(不含婴幼儿配方乳粉)的零售。游泳服务;酒店管理服务;物业管理;房屋租赁服务;卷烟(含雪茄烟)的零售(凭有效许可证经营);会议及展览服务;...针纺织品、服装、鞋帽、家庭用品、皮革制品、首饰、工艺品、收藏品(不含文物)的销售;...,www.cromneplaza.com,0510-85798888,0510-85798888-6609；0510-85798888-6605；
无锡地铁集团有限公司,江苏,无锡市,913202006829704176,徐政,有限责任公司,2008-11-24,570000万人民币元,无锡市清扬路228号,webmaster@wxmetro.net,"对城市轨道交通的投资、建设、运营;工程管理服务;国内贸易;利用自有资产对外投资;自有房屋租赁;物业管理(凭有效资质证书经营);咨询和培训服务(不含发证、不含国家统一认可的职业...对京沪高速铁路和沪宁城际铁路无锡段的投资建设;设计、制作、代理、发布国内广告业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.wxmetro.net,0510-81960106,0510-81960128；0510-81827555；
无锡融侨置业有限公司,江苏,无锡市,913202145525051033,TEDY DJUHAR(林宏修),有限责任公司（法人独资）,2010-03-23,30000万人民币元,无锡经济开发区苏巷路1号,438843408@qq.com,"房地产开发经营;物业管理;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81810501,
无锡中富置业有限公司,江苏,无锡市,913202067923284761,王平,有限责任公司（法人独资）,2006-09-21,5000万人民币元,无锡市惠山区钱桥大街141号,,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",http://www.zfzy.net,0510-81819999-557,
无锡永晟置业有限公司,江苏,无锡市,913200006709836088,陈铎,有限责任公司(台港澳法人独资),2008-01-15,80000万人民币元,无锡市南长区永和路18号,240948177@qq.com,"房地产开发与经营;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82831166,
无锡百宏置业有限公司,江苏,无锡市,913202050618669838,郑国烟,有限责任公司（法人独资）,2013-02-04,28000万人民币元,无锡市锡山区安镇街道东翔路1399号,m8505@paiho.cn,"商业用房屋经营管理;房产策划咨询、商业规划咨询、企业策划咨询;物业管理;房地产销售、开发及租赁;室内外装饰装潢工程设计施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88261688,
九龙仓(无锡)置业有限公司,江苏,无锡市,913202007945950413,陈国邦,有限责任公司(台港澳法人独资),2006-11-10,30758万美元,无锡市钟书路99号国金中心5楼,lichao@wharfwuxi.com,"从事对无锡市市民广场南侧2-006-020-011号地块商务办公、酒店、会议及商业配套设施及无锡市XDG-2006-71号地块商业、办公、普通住宅的开发,经营本公司开发的房产,停车场管理服务。(不含国家限制类和禁止类项目,凭有效资质证书经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.wharfholdings.com,0510-81028160,0510-81028102；
无锡天宇置业有限公司,江苏,无锡市,91320200772494071U,饶文浩,有限责任公司(台港澳法人独资),2005-11-14,998万美元,无锡市湖滨路小天竺,731851258@qq.com,"房产开发(不含国家限制类项目,涉及行政许可凭有效许可证明经营);物业管理;房屋租赁;建筑安装服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.wxtyzy.com,0510-85123378,0510-85132278；
无锡蓝光和骏置业有限公司,江苏,无锡市,9132020506953262X7,陆军,有限责任公司（法人独资）,2013-06-03,10000万人民币元,无锡市锡山区安镇街道新华路南、润锡中路东,,"房地产开发经营(凭有效资质证书经营),利用自有资金对外投资(国家法律法规禁止、限制的领域除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88535597,
贝泰置业无锡有限公司,江苏,无锡市,91320211MA1Q55LQXE,孙寿昌,有限责任公司,2017-08-25,5000万人民币元,无锡市滨湖区绣溪路50号k-park服务中心3号楼14层西北,,"房地产开发与经营;房屋建筑工程、建筑装饰工程、公路工程、园林绿化工程的施工;空调设备安装;物业管理;酒店管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡中城置业有限公司,江苏,无锡市,913202110618191402,杜钧,有限责任公司,2013-01-16,10000万人民币元,无锡市滨湖区梁溪路38号,180164619@qq.com,"房地产开发、经营(凭有效资质证书经营);房屋建筑工程施工;房地产经纪服务;利用自有资金对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85531507,
无锡泰茂置业有限公司,江苏,无锡市,91320211MA1MXMNL77,张剑峰,有限责任公司,2016-10-25,10408.1633万人民币元,无锡市湖滨壹号花园1-2号688室,jmwx_hr@sinochem.com,"房地产的开发、经营(凭有效资质证书经营);房屋租赁;物业管理服务;停车场管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85118810,
无锡嘉煌置业有限公司,江苏,无锡市,91320213585560678T,蔡汉光,有限责任公司（法人独资）,2011-11-11,20000万人民币元,无锡市新吴区湘江路2-3-1502、1503、1504、1505,67650323@qq.com,"房地产开发经营;房地产投资、物业管理;自有物业出租经营;配套服务设施的经营;酒店管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-8181379,0510-81813791；0510-81815958；
无锡鑫畅置业有限公司,江苏,无锡市,913202147827371455,徐林宝,有限责任公司,2006-01-04,29000万人民币元,无锡市新区长江路11号,870688117@qq.com,"自有房屋出租;酒店投资及配套服务;物业管理(凭有效资质证书经营);实业投资;国内贸易;企业管理;棋牌室;桌球室;针织品、服装、日用品、工艺品的销售;展览服务;会议服务;礼仪服务;企业营销策划;社会经济咨询;以下经营项目限分支机构经营:特大型餐馆(含凉菜;...(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85258467,
无锡市住房置业担保有限公司,江苏,无锡市,913202007424858876,程述,有限责任公司,2002-09-10,13000万人民币元,无锡市五爱家园89号,,"住房置业担保;房产经纪;贸易咨询服务;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85731577,0510-82715618；
无锡市吉品置业有限公司,江苏,无锡市,91320211666820419M,余吉,有限责任公司,2007-09-12,5000万人民币元,无锡市滨湖区马山梅梁路26-1号,dfjm@163.com,"房地产开发、销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85996898,
无锡嘉南置业有限公司,江苏,无锡市,91320214552502033T,裴丹,有限责任公司（法人独资）,2010-03-23,26000万人民币元,无锡市新区太科园净慧东道77号8幢-1,15371059801@163.com,"房地产开发经营(凭有效资质证书经营);建筑材料的销售;自有房产租赁;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15371059801,15906175779；0510-85382221；
无锡龙湖置业有限公司,江苏,无锡市,91320214692552585W,裴丹,有限责任公司（法人独资）,2009-07-16,61520万人民币元,无锡市新区太科园净慧东道77号8幢-1,15371059801@163.com,"房地产开发、经营(凭有效资质证书经营);建筑材料的销售;自有房产租赁;房产中介、房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85382221,0510-66726715；0510-85382221；
无锡成功置业有限公司,江苏,无锡市,91320206398230163Q,朱启龙,有限责任公司（法人独资）,2014-07-01,3600万人民币元,无锡市惠山区欣惠路152号,1328443102@qq.com,"房地产开发、经营,物业管理,绿化管理服务,装饰装潢服务;金属材料、建筑材料、卫生洁具、家用电器设备、五金产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83592788,0510-83592758；
无锡苏宁置业有限公司,江苏,无锡市,9132020066896765XM,楼晓君,有限责任公司（法人独资）,2007-11-08,87000万人民币元,无锡市人民中路109号,shenyun1014@163.com,房地产开发经营;物业管理(凭有效证书经营);自有场地、专柜租赁业务;房屋租赁、维修;企业形象策划(不含广告);企业管理;停车场管理服务;住宿;中餐、西餐、日式餐、自助餐(含凉菜、含裱花蛋糕、含生食海产品);卷烟(含雪茄烟)的零售;预包装食品、散装食品的批发与零售;...自营和代理各类商品及技术的进出口业务(国家限定企业经营或...,,0510-81022888,18661072089；
无锡嘉承置业有限公司,江苏,无锡市,91320206MA1P9NC188,裴丹,有限责任公司(台港澳与境内合资),2017-06-26,153000万人民币元,无锡市惠山区政和大道189号107室,,"房地产开发经营;自有房产租赁;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡大承置业有限公司,江苏,无锡市,913202143022382255,龚育才,有限责任公司（法人独资）,2014-06-24,10000万人民币元,无锡市新吴区太科园净慧东道77号6-1,eken_320@sina.com,"房地产开发及销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83333781,
无锡创源置业有限公司,江苏,无锡市,9132021355583456XC,娄伟,有限责任公司,2010-05-18,8000万人民币元,无锡市新吴区长江路21-1-908,wxcyzy8617@163.com,"房地产开发与经营;自有房屋出租。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85216761,
无锡信运置业有限公司,江苏,无锡市,9132021467700189X9,郑盼利,有限责任公司(自然人独资),2008-06-13,13500万人民币元,无锡市新吴区南站曙光村马陆巷1号,1148093057@qq.com,"房地产开发、销售(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82116699,0510-82124573；0510-82707156；
无锡丽悦置业有限公司,江苏,无锡市,,邱仲慧,有限责任公司(中外合作),2006-01-23,1700万美元,无锡蠡溪路南端,,"许可经营项目:房产开发,经营本公司开发房产。(不含国家限制类项目,涉及专项审批的凭有效许可证明经营)一般经营项目:无",,0510-83959999,
无锡嘉御置业有限公司,江苏,无锡市,91320214MA1T79D519,许健康,有限责任公司（法人独资）,2017-11-01,20000万人民币元,无锡市新吴区龙山路2-28-409,,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡广泽置业有限公司,江苏,无锡市,91320200MA1N0CR390,刘海涛,有限责任公司,2016-11-18,10000万人民币元,无锡市会北路28-12号,306987165@qq.com,"房地产开发与经营;物业管理;绿化服务;房屋租赁;提供企业管理服务;利用自有资产对外投资;建筑装饰装修工程的设计、施工(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13706148671,
无锡盈华置业有限公司,江苏,无锡市,91320205MA1N26JT50,唐丽,有限责任公司（法人独资）,2016-12-07,10000万人民币元,无锡市锡山区安镇街道丹山路78号锡东创融大厦A座1101,conglulu5@126.com,"房地产开发经营;自有房屋租赁;物业管理服务;酒店管理服务;建材的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18642600601,
无锡市太湖新城置业有限公司,江苏,无锡市,91320211673013236U,吴怀美,有限责任公司（法人独资）,2008-03-14,4080万人民币元,无锡市太湖新城金融一街10号无锡金融中心18层,jonbian@sohu.com,"房地产开发经营;物业管理;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85609332,0510-86410390；0510-86410311；
无锡融创景运置业有限公司,江苏,无锡市,91320200MA1MU2U33Y,顾国华,有限责任公司（法人独资）,2016-09-09,20000万人民币元,无锡市清扬路189号4楼,jiangyuting@sunac.com.cn,"房地产开发经营(凭有效资质证书经营);物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81022066,
无锡盛建置业有限公司,江苏,无锡市,91320200MA1N1FFP60,郑奎,有限责任公司,2016-12-02,160000万人民币元,无锡市北塘大街188号,,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,0510-88259652,
无锡圆融置业发展有限公司,江苏,无锡市,91320200072712613R,石颖,有限责任公司（法人独资）,2013-07-02,50000万人民币元,无锡市锡澄路256号(一号桥堍、民丰路口),zhangw@szharmony.com,"房地产开发、经营;自有商业房屋租赁服务;建设工程项目管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83036000,
无锡太湖苑置业有限公司,江苏,无锡市,91320200752026182F,常振明,有限责任公司(台港澳与境内合资),2003-10-27,4880万美元,无锡市滨湖区太湖锦园48号二楼201-215号,heqifang@taihuyuan.com.cn,"从事无锡市渔港乡4-007-142-003号地块的房地产及其配套设施的开发、经营(不含国家限制、禁止类项目);物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85515200,0510-85515020；
无锡隆舜置业有限公司,江苏,无锡市,91320206772498478U,包振华,有限责任公司,2005-04-27,4500万人民币元,无锡市惠山区钱桥江海西路1089号,731299700@qq.com,"房地产开发、销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,0510-83202138,0510-83203088；
无锡嘉睿置业有限公司,江苏,无锡市,91320205566839796D,裴丹,有限责任公司（法人独资）,2010-12-10,55950万人民币元,无锡市锡山区东亭街道锡沪东路58号,15371059801@163.com,"房地产开发、经营;自有房产租赁;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15371059801,0510-66726715；0510-85382221；
无锡瑞城置业有限公司,江苏,无锡市,9132020669674922X6,徐炯,有限责任公司,2009-11-03,5800万人民币元,无锡市惠山区钱桥大街141号,,"房地产开发及经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,0510-83208151,0510-81819999-557；
无锡市华亨置业发展有限公司,江苏,无锡市,91320282718684878X,蒋金坤,有限责任公司,2000-03-15,36000万人民币元,宜兴市宜城街道东山西路25号,183168180@QQ.com,"按贰级资质从事房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.wxhuaheng.com,0510-80762209,0510-87942580；0510-87942579；
无锡润泰置业有限公司,江苏,无锡市,91320211MA1PAKHGXE,张剑峰,有限责任公司,2017-06-29,97020万人民币元,无锡市建筑西路599-5(2号楼)一楼101室,836806936@qq.com,"房地产开发与经营;非爆破性房屋拆除工程的设计与施工;房屋租赁;物业管理服务;停车场管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85533515,
无锡凯燕置业有限公司,江苏,无锡市,91320200757302596X,唐红英,有限责任公司,2003-12-17,10000万人民币元,无锡市永和路18号,kycw003@126.com,"房地产开发;物业管理;设计、制作、代理、发布各类广告业务;(以下经营范围限分支机构经营):中餐、西餐制售;酒、饮料、定型包装食品的销售;客房、游泳池、酒吧、美容美发室、棋牌室、桌球室;珠宝首饰、工艺品、家用电器的销售;停车场服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81088200,0510-81088207；0510-81087624；
无锡南天广置业发展有限公司,江苏,无锡市,,林剑民,有限责任公司（法人独资）,2007-04-28,10000万人民币元,无锡市江海东路523号F区588,,许可经营项目:房地产开发与经营。一般经营项目:房产中介;房地产信息咨询服务;建筑用材料、装饰装潢材料、家用电器、家具的销售。(上述经营范围涉及专项审批的经批准后方可经营)*,,0510-82030006,
无锡锦昊置业有限公司,江苏,无锡市,91320200MA1MFAH49N,王干一,有限责任公司,2016-02-17,6000万人民币元,无锡市凤翔北路9号506,576727475@qq.com,"房地产开发经营(凭有效资质证书经营);房屋租赁;物业管理(凭有效资质证书经营);五金产品、建材的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13961843625,
无锡太阳置业有限公司,江苏,无锡市,91320200793331247A,谢峻峰,有限责任公司,2006-10-12,46000万人民币元,无锡市兴源北路600号1901,,"房地产开发经营;自有房产租赁;停车场服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82601869,0510-66908803；
无锡新城万嘉置业有限公司,江苏,无锡市,91320200665794845F,唐云龙,有限责任公司,2007-08-14,42050万人民币元,无锡市北塘区新桥花园50-1,xcdc@xincheng.com,"房地产开发经营;自有房屋租赁;室内装饰装潢服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.900950.com,0510-85220683,0510-82833277；0519-81682816；
无锡天奇置业有限公司,江苏,无锡市,91320206770543765X,黄斌,有限责任公司（法人独资）,2005-03-21,12000万人民币元,无锡市惠山区洛社镇人民南路,,"房地产经营;房屋租赁;房地产开发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.chinaconveyor.com,0510-83305350,
无锡蓝光置业有限公司,江苏,无锡市,913202050885898327,陆军,有限责任公司（法人独资）,2014-02-28,10000万人民币元,无锡市锡山区东亭街道迎宾北路1号,,"房地产开发与经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88535597,
无锡嘉辉置业有限公司,江苏,无锡市,91320205053545872A,裴丹,有限责任公司（法人独资）,2012-09-25,51000万人民币元,无锡市锡山区安镇街道润锡中路东、山河路北,15371059801@163.com,"房地产开发经营;建筑材料(不含油漆和涂料)的销售;自有房屋的租赁(不含融资租赁)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15371059801,0510-66726175；0510-85382221；
无锡百润置业有限公司,江苏,无锡市,91320211791974505N,范晓艳,有限责任公司,2006-08-15,5000万人民币元,无锡市滨湖区西园里393号201室,,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13912383819,
无锡利华置业有限公司,江苏,无锡市,913202140882401479,华殿君,有限责任公司,2014-03-27,10000万人民币元,无锡市金城东路333-1-113,547415518@qq.com,"房地产开发、经营;建材(不含油漆、涂料)、金属材料、商品混凝土的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83382666,15021397270；
无锡知行置业有限公司,江苏,无锡市,91320214MA1TC0EC8H,舒策丸,有限责任公司（法人独资）,2017-11-24,10000万人民币元,无锡市新吴区金城东路301-102号,wz@hkwzig.com,"房地产开发;经营自有房产;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-68025520,
无锡玉海置业有限公司,江苏,无锡市,91320206699312867N,钱瑛,有限责任公司（法人独资）,2009-12-16,5000万人民币元,无锡市惠山区玉祁街道平湖路,251461148@qq.com,"房地产开发与房产销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88207555,0510-88207555；
无锡华友置业有限公司,江苏,无锡市,913202117859596599,李秋生,有限责任公司（法人独资）,2006-10-23,5000万人民币元,无锡市湖滨路小天竺(震泽三村101),13764400228@163.com,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,021-69503589,021-69503120；
无锡五洲国际置业有限公司,江苏,无锡市,91320214552546693Y,舒策城,有限责任公司,2010-03-31,5000万人民币元,无锡市新吴区梅村生活购物广场1301号,wz@hkwzig.com,"房地产开发;房地产投资、营销策划、销售代理;房屋租赁代理;自有房屋的租赁;社会经济信息咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-68025520,0510-68025616；0510-68025580；0510-80299056；0510-88231773；
无锡红福置业有限公司,江苏,无锡市,91320205567778198W,戴敏君,有限责任公司,2011-01-06,10000万人民币元,无锡市锡山区安镇街道东兴路198号,hdxd_cw@126.com,"房地产开发经营;自有房屋的租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81808920,
无锡嘉盛置业有限公司,江苏,无锡市,913202145538429377,田建,有限责任公司（法人独资）,2010-04-20,10100万人民币元,无锡市新区鸿山街道后宅中路42号,wuxijiasheng001@126.com,"房地产开发经营;对自有房屋的物业管理;房地产投资咨询;房地产信息咨询(中介除外)、承办房地产展览展示、技术咨询、建设工程项目管理;自有房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88558908,0510-88558836；0510-88998322；
