企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡广地实业有限公司,江苏,无锡市,913202001359236460,谢凌云,有限责任公司,1993-05-06,5000万人民币元,无锡市新生路107号(新鼎球大厦11楼),,"利用自有资产对外投资;房产租赁;楼宇智能化技术的研发;自行开发房屋的销售;建筑用材料、五金交电的销售;停车场服务;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82752277,
无锡鑫桓新能源科技有限公司,江苏,无锡市,91320211MA1P1BJH7H,戴洪苏,有限责任公司,2017-05-18,6000万人民币元,无锡市滨湖区胡埭镇张舍路8,,"新能源技术推广服务;制冷、空调设备、家用电力器具、机械零部件、环境保护专用设备的研发、制造、销售;应用软件的开发;合同能源管理;保安监控及防盗报警系统工程服务;电气安装;管道和设备安装。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡优房房产经纪有限公司,江苏,无锡市,91320202669621255M,倪松,有限责任公司,2007-11-29,80万人民币元,无锡市解放东路915,814720150@qq.com,"房产经纪;贸易咨询服务;装饰装潢服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.ufwang.com,15261590893,13665113006；
无锡富中宝贵金属有限公司,江苏,无锡市,9132021159695148XN,侯苏东,有限责任公司,2012-05-31,5000万人民币元,无锡市湖滨壹号花园1-2十一楼1105室,954770679@qq.com,金属及金属矿、金属制品、五金产品、家用电器、电气机械及器材、通用机械及配件、专用设备及配件、建材、装饰装潢材料、纸制品、橡胶制品、医疗用品及器材、服装、针纺织品及原料、包装材料、通信设备(不含卫星广播电视地面接收设施及发射装置)、珠宝首饰的销售;珠宝首饰的加工;自营和代理各类商品及技术的进出口业务(国家...,,15152233643,15995223158；
无锡宏武房产经纪有限公司,江苏,无锡市,91320214696790011B,杨芳,有限责任公司,2009-11-13,100万人民币元,无锡市新吴区行创四路411#,15312229616@qq.com,"房产经纪。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15312229616,0510-66699920；15961800422；
无锡成功置业有限公司,江苏,无锡市,91320206398230163Q,朱启龙,有限责任公司（法人独资）,2014-07-01,3600万人民币元,无锡市惠山区欣惠路152号,1328443102@qq.com,"房地产开发、经营,物业管理,绿化管理服务,装饰装潢服务;金属材料、建筑材料、卫生洁具、家用电器设备、五金产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83592788,0510-83592758；
无锡畅盛房地产经纪有限公司,江苏,无锡市,91320214072723590B,盛新梅,有限责任公司,2013-06-25,500万人民币元,无锡市新区湘江路2-2-411,3389156128@qq.com,"房产信息咨询服务;房地产价格评估;房地产经纪服务;企业营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18352525560,13506193655；18015358066；0510-82436919；
无锡有为房产经纪有限公司,江苏,无锡市,91320213MA1PXBLD1U,潘振,有限责任公司(自然人独资),2017-07-18,50万人民币元,无锡市梁溪区红星路8号5011,,"房地产经纪;房地产信息咨询;企业营销策划;会议及展览服务;装饰装潢服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15312226577,
无锡顺吉房产中介有限公司,江苏,无锡市,91320205MA1P8B7R06,华光,有限责任公司(自然人独资),2017-06-20,5万人民币元,无锡市锡山区安镇街道鑫安小区一期门面房131号,,"房产中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡中为房产经纪有限公司,江苏,无锡市,91320205MA1T8PRX9T,朱合为,有限责任公司,2017-11-08,1600万人民币元,无锡市锡山区锡北镇工业集中区泾瑞路26号,2448854955@qq.com,"房产经纪。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13861755818,
无锡房来易房产经纪有限公司,江苏,无锡市,913202000727377221,陆智勇,有限责任公司,2013-07-08,201万人民币元,无锡市南长区阳光城市花园B区8号1052,1753787261@qq.com,"房地产中介服务;会议及展览服务;企业形象策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18921287072,15152233643；13485030982；
无锡中宜房产经纪有限公司,江苏,无锡市,91320214076362358T,汤聚凯,有限责任公司(自然人独资),2013-08-28,10万人民币元,无锡新区旺庄路80#-216,344714830@QQ.com,"房地产中介服务;房地产营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13861867361,
无锡市锡城中山房产服务有限公司,江苏,无锡市,91320200720572760D,蒋晓峰,有限责任公司,2000-05-26,300万人民币元,无锡市复兴路121号,wxefw@163.com,"房产信息咨询、房产中介服务、经济信息咨询、装饰装潢(不含资质);家政服务;清洗服务;摄影服务;洗烫服务;皮革护理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.zsfc.com,0510-82720393,0510-82750793；
无锡凌度房产信息咨询有限公司,江苏,无锡市,91320204MA1MTN9R8H,李鹤,有限责任公司,2016-09-05,100万人民币元,无锡市会岸路88-77-302,13812036325@qq.com,"房产信息咨询;房产经纪;房地产营销策划;装饰装修服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13812036325,
无锡欧灵房产开发有限公司,江苏,无锡市,913202066744014849,王本度,有限责任公司,2008-04-07,800万人民币元,无锡市惠山区堰桥街道锡澄南路14号,445149674@qq.com,"商品房开发,建筑材料、装饰装潢材料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88201103,
无锡易拓房产营销策划有限公司,江苏,无锡市,9132020268718874X7,范添,有限责任公司,2009-04-01,50万人民币元,无锡市广益路188号1027A,,"房产营销策划;房产经纪;房产中介服务;企业形象策划;会务服务;市场营销策划;装潢装饰服务;设计、制作、代理和发布各类广告;网络技术、计算机、软件及辅助设备的技术开发、技术咨询、技术服务、技术转让;商务咨询(不含投资咨询、不含证券、期货);服装、工艺品、计算机、软件及辅助设备的销售(依法需经批准的项目,经相关部门...",,13815101900,15365246521；13812037171；13400012011；
无锡秋叶房产经纪有限公司,江苏,无锡市,91320211MA1Q5NHK4M,沈荣芬,有限责任公司,2017-08-29,50万人民币元,无锡国家高新技术开发区16号地块,391149851@qq.com,"房地产经纪服务;房地产信息咨询;房地产营销策划;房屋租赁;企业管理咨询;市场调查;会议及展览服务;装饰装潢服务;计算机软硬件、通讯设备(不含卫星电视广播地面接收设施及发射装置)的技术开发、技术咨询、技术服务、技术转让及销售;五金产品、家庭用品、办公用品、电子产品的销售。(依法须经批准的项目,经相关部门批准后方可...",,15861583915,
无锡市硕放房地产经营有限公司,江苏,无锡市,91320214250084761G,李锡惠,有限责任公司,1992-07-07,800万人民币元,无锡市新区硕放政通路12号,0510zy@163.com,"自有房屋的销售;硕放街道范围内村镇建设及市政工程配套建设;建材、金属材料、装璜材料、五金材料的销售;水电安装(不含资质)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85302245,15961833671；
无锡龙创房地产经纪有限公司,江苏,无锡市,913202116955331363,孙喜龙,有限责任公司,2009-10-22,50万人民币元,无锡市建筑路D6幢1258单元1层,,"房地产经纪服务;房地产信息咨询服务;市场营销策划;企业营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85898062,0510-85898092；
无锡置腾房产经纪有限公司,江苏,无锡市,91320213MA1MWP1E2X,张华,有限责任公司,2016-10-10,50万人民币元,无锡市红星路8号605,,"房地产中介服务;会议及展览服务;公关服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15052438310,
无锡中康房产中介服务有限公司,江苏,无锡市,9132020334622081X2,杨支亮,有限责任公司(自然人独资),2015-07-13,10万人民币元,无锡市红星路8号1772,530059551@qq.com,"房地产中介服务。(依法需经批准的项目,经相关部门批准后方可开展经营活动)",,13665175800,13063625588；
无锡伍阿哥房产经纪有限公司,江苏,无锡市,913202133139571290,姚廷祥,有限责任公司(自然人独资),2014-08-27,50万人民币元,无锡新区太湖花园104,1787974156@qq.com,"房地产经纪;房地产信息咨询;装饰装潢服务;房地产营销策划;社会经济咨询;商务信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18861603611,
无锡苏顺国际商务有限公司,江苏,无锡市,91320200742485609Q,黄侃,有限责任公司,2002-09-11,8000万人民币元,无锡市清扬路62号,,"利用自有资产对外投资;物业管理(凭有效资质经营);酒店管理服务;停车场管理服务;会议展览服务;礼仪服务;国内贸易(不含国家专项行政许可项目);制冷设备和计算机的技术服务;房产经纪;自行开发房屋的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85050652,0510-85050653；
无锡市长安房产开发有限公司,江苏,无锡市,91320206717433858G,成伟祥,有限责任公司,1999-09-01,2000万人民币元,无锡市堰桥镇长安锡长路,2896705911@qq.com,"房产开发,市政工程建设、配套设施的安装。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83761445,
无锡住宅建设有限公司,江苏,无锡市,91320211136369552X,马国祥,有限责任公司,2001-12-20,2000万人民币元,东绛苏锡路557号,981732003@qq.com,"商品房开发、经营(凭有效资质证书经营);商品房建筑、出租;建筑材料、金属材料、木材的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85061847,15905231698；13306195551；0510-85061623；
无锡市润昌房产经纪有限公司,江苏,无锡市,91320200074686690M,郑文瑞,有限责任公司(台港澳合资),2013-08-28,20万美元,无锡市北塘大街188号405,runchang8899@163.com,"房产经纪、房产信息咨询、企业管理咨询服务、物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85175028,0510-82698027；13358112166；
无锡赛维拉房产开发有限公司,江苏,无锡市,91320200739438887E,凌清华,有限责任公司(台港澳法人独资),2002-06-27,250万美元,无锡市惠山经济开发区政和大道198-2,happy_cc001@163.com,"本公司开发的房产的物业管理服务;从事地号为41-01-25、41-01-26、5821-19-1、5821-19-2、5821-19-3地块的房产开发、经营本公司开发的房产。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83599615,0510-83589606；
无锡勇博房产经纪服务有限公司,江苏,无锡市,91320214MA1N41JT23,魏焕昌,有限责任公司,2016-12-16,10万人民币元,无锡市新吴区江溪街道坊前万裕苑二区173-19号,15861660071@qq.com,"房产中介代理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15861660071,15995277657；
无锡市银辉房产营销有限公司,江苏,无锡市,91320200136001475M,黄耀清,有限责任公司,1995-04-19,2000万人民币元,无锡市扬名新村34号201室,,"房屋销售;房产经纪;房产信息咨询服务;自有房屋租赁;室内外装璜(不含资质);建筑用材料、装饰装修材料、金属材料、木材的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82724104,
无锡筑家房产咨询有限公司,江苏,无锡市,91320214MA1MUN2H7M,陈苏州,有限责任公司,2016-09-21,50万人民币元,无锡市新吴区天山路8-1921,523689955@qq.com,"房地产中介服务;房地产信息咨询;房地产经纪;房地产营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18861812897,
无锡志忱房产经纪有限公司,江苏,无锡市,91320200MA1MUD1C21,张睿雯,有限责任公司,2016-09-14,201万人民币元,无锡市西水东5A1幢21-21-25单元,zhuyp@wx-yxtc.com,"房产中介服务、房地产营销策划、房屋租赁、物业管理、市场调查、企业管理咨询服务、会务服务、展览展示服务、培训服务(不含发证、不含国家统一认可的职业证书类培训);设计、制作、代理和发布国内广告业务;食品、家庭用品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85888227,0510-82731899；
无锡易尊房产经纪有限公司,江苏,无锡市,91320213MA1Q4Y8U3N,杨闯,有限责任公司,2017-08-24,3万人民币元,无锡市梁溪区龙山梢3号-137,18698526151@163.com,"房地产经纪;房地产信息咨询;企业营销策划;市场营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18698526151,
无锡市宏策房产经纪有限公司,江苏,无锡市,91320211591193528Y,陈小波,有限责任公司,2012-03-13,50万人民币元,无锡市滨湖区嘉业财富中心A幢8单元1526,309964693@qq.cpom,"房产经纪;房地产营销策划;企业管理服务;会议及展览服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.wxhongce.cn,0510-85223607,
无锡润康鑫房产营销有限公司,江苏,无锡市,913202143388556126,单晓亮,有限责任公司,2015-04-23,50万人民币元,无锡市新区旺庄路180-632,,"房地产营销策划服务;房地产经纪服务;装饰装修服务;会议服务;展览展示服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18962176032,
无锡捷运房地产有限公司,江苏,无锡市,91320205060237130N,卢晓燕,有限责任公司(中外合作),2013-02-01,76000万港元,无锡市锡山区安镇街道东兴路198号,postmaster@cmpinvestment.com,"从事无锡市XDG-2012-64号地块的房地产开发,经营本公司开发的房产(不含国家限制、禁止类项目,凭有效资质证书经营);物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.maitian.cn,0510-88333036,0510-88335629-8004；
无锡市银房房产开发有限公司,江苏,无锡市,913202006925638905,童安多,有限责任公司（法人独资）,2009-07-23,2000万人民币元,无锡市锡沪西路999-338,421780572@qq.com,"房地产开发、销售;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82404333,
无锡瑞河房产经纪有限公司,江苏,无锡市,91320214MA1MR9QW8K,王修军,有限责任公司,2016-08-12,50万人民币元,无锡市梁溪区中山路531-907,15161582629@qq.com,"房产经纪;房地产信息咨询服务;企业营销策划;企业管理咨询;市场调查;日用品、五金产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15161582629,
无锡宜居盛世房产经纪有限公司,江苏,无锡市,91320214MA1MQG1861,林全明,有限责任公司,2016-07-27,100万人民币元,无锡市新吴区天山路8-1721,835378434@qq.com,"房地产经纪;房地产价格评估、房地产咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15312225578,18912481045；
无锡市银座房产服务有限公司,江苏,无锡市,91320214745554665J,许晓寅,有限责任公司,2002-12-20,2000万人民币元,无锡新区长江路5-104,xy335@126.com,"房产销售、租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85222903,0510-85703338；
无锡市星波房产开发有限公司,江苏,无锡市,91320206757987273R,胡红星,有限责任公司,2004-02-10,2000万人民币元,无锡市阳山镇人民路阳山商贸城78号,844643348@qq.com,"房地产开发,建筑材料、金属材料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83050999,
无锡宝汇吉房产信息咨询有限公司,江苏,无锡市,,张金龙,有限责任公司,2014-05-04,20万人民币元,无锡市南长区红星路8号1209,,许可经营项目:无 一般经营项目:房产中介服务;企业管理咨询服务;投资咨询(不含期货、证券类);贸易咨询服务。,,,
无锡兴和居房产信息咨询有限公司,江苏,无锡市,91320205346423975B,李艳,有限责任公司,2015-07-31,201万人民币元,无锡市锡山区东亭街道锡州中路23号,13771411112@139.com,"房产信息咨询服务;投资咨询(不含证券期货类);商务信息咨询;保洁服务;房地产经纪;建材、五金、办公用品、电子产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771411112,13646172221；
无锡市恒达中环房产有限公司,江苏,无锡市,91320206579486571A,陆宝林,有限责任公司（法人独资）,2011-07-21,2000万人民币元,无锡市惠山区钱桥钱威路29号,532841902@qq.com,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",,0510-88303311,0510-83225555；0510-83805566；
无锡玉汝房产营销策划有限公司,江苏,无锡市,91320200MA1MXCKH87,张斌,有限责任公司,2016-10-19,201万人民币元,无锡市滨湖区华庄街道水清木华苑158-6,18762677575@qq.com,"房地产营销策划;房地产信息咨询;房产经纪。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15852575578,18762677575；
无锡市康达房产置业有限公司,江苏,无锡市,91320206731154046R,李瑞娟,有限责任公司,2001-09-13,2000万人民币元,无锡市惠山区前洲街道青城西路58号,541519164@qq.com,"房地产开发与经营;自有房屋租赁;利用自有资金对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83399018,
无锡蓝天房地产开发有限公司,江苏,无锡市,,王峰,有限责任公司,2009-07-09,6000万人民币元,无锡惠山经济开发区玉祁配套区(玉东东环路),,许可经营项目:房产开发、销售。一般经营项目:无,,,
无锡勤熠房产信息咨询有限公司,江苏,无锡市,913202033312673752,严凤云,有限责任公司,2015-04-13,50万人民币元,无锡市五星家园258号1299室,17701517228@163.com,"房地产中介服务;贸易咨询服务;办公设备、文具用品、电子产品的销售。(依法需经批准的项目,经相关部门批准后方可开展经营活动)",,17701517228,13218796861；
无锡小谢房产经纪有限公司,江苏,无锡市,91320205MA1W6PDD8Q,谢士乐,有限责任公司(自然人独资),2018-03-13,500万人民币元,无锡市锡山区锡北镇张泾泾声路62号,,"房地产信息咨询,房地产经纪。",,,
无锡泽晟房产经纪有限公司,江苏,无锡市,91320211MA1MD9GX6Q,周智慧,有限责任公司(自然人独资),2015-12-24,100万人民币元,无锡市滨湖区周新苑280,,"房地产经纪服务;房地产咨询服务;利用自有资金对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771559853,15961838477；
无锡志忱房产经纪有限公司广益店,江苏,无锡市,91320211MA1NFL2360,童晟,有限责任公司分公司,2017-02-27,,无锡市梁溪区广博路35#楼下壹层号壹间,,"房产中介服务、房地产营销策划、房屋租赁、物业管理、市场调查、企业管理咨询服务、会务服务、展览展示服务;设计、制作、代理和发布国内广告业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡仲城房地产有限公司,江苏,无锡市,913202007487342583,叶立培,有限责任公司(中外合资),2003-06-12,3500万美元,无锡市汉昌西街20号,zcfdc888@163.com,"无锡市火车站站前地区的房地产开发,经营本公司开发的房产(不含国家限制类和禁止类项目,凭有效资质证书经营。自有房屋的出租。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82305840,
无锡优仙居房产经纪有限公司,江苏,无锡市,91320200MA1MC0GW87,王继军,有限责任公司,2015-12-02,1000万人民币元,无锡市南长街687号B幢206室,390942701@qq.com,"房地产经纪;房地产营销策划;贸易咨询服务;家庭服务;建筑装修装饰工程的设计、施工(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13665177627,15370226987；15852500337；
无锡诺美房产经纪有限公司,江苏,无锡市,91320200330890843P,陈涛,有限责任公司(自然人独资),2015-01-30,201万人民币元,无锡市通扬南路55-10,390942701@qq.com,"房地产经纪;利用自有资产对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13861465560,13656182753；
无锡长泰房地产开发有限公司,江苏,无锡市,913202055652875120,赵长伟,有限责任公司（法人独资）,2011-01-06,67590.432万人民币元,江苏省锡山经济开发区凤威路2号搜客天地A358号,Wangzy@cjland.cn,"在位于无锡市锡山经济开发区编号为XDG-2009-106号A地块上从事商业办公用房的房产开发,B地块上从事商业居住用房的房产开发,经营本公司开发的房产(不含国家限制类、禁止类项目,凭有效资质证书经营);物业管理、停车位管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,021-20234945,021-20234803；021-20234833；
无锡侨佳房产中介有限公司,江苏,无锡市,91320205MA1MY8PA7N,杨志成,有限责任公司,2016-11-03,800万人民币元,无锡市锡山区鹅湖镇北新河睦邻中心C栋25号,17701513785@qq.com,"房产中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,17701513785,
无锡东渡房地产开发有限公司,江苏,无锡市,91320206674430437D,张明明,有限责任公司,2008-04-15,17500万人民币元,无锡市惠山区玉祁街道堰玉路,178130460@126.com,"房产开发、销售。房产经纪;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.ddigroup.com.cn/index.aspx,18921515688,0510-83897070；0510-83887673；
无锡市北网中鑫房产中介服务有限公司,江苏,无锡市,91320211302255930W,张未,有限责任公司(自然人独资),2014-06-11,200万人民币元,无锡市解放北路16号713室,,"房地产中介服务、企业管理服务、企业形象策划;利用自有资金对外投资;企业管理咨询服务;贸易咨询;信息技术咨询服务;会计服务;商务咨询(不含投资咨询不含期货证券);数据处理和存储服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82829608,
